user_id,email,first_name,last_name,department,role,phone,is_active,created_at,last_login,login_count,position,employee_id,salary_range,location
1,user1@yahoo.com,Rafaél,Santana,Recursos Humanos,solicitante,+52 668 747 5578,True,2025-01-25 01:19:54,,0,Practicante y asistente médico,EMP00000001,,
2,user2@outlook.com,Adela,Espinosa,Biblioteca,solicitante,+52 592 805 3707,True,2025-06-06 12:30:53,,0,Dibujante técnico,EMP00000002,,
3,user3@live.com,Laura,Roybal,Recursos Humanos,solicitante,+52 355 711 2608,True,2025-05-01 18:55:35,,0,Farmacéutico,EMP00000003,,
4,user4@icloud.com,Noemí,Urías,Sistemas y TI,solicitante,+52 513 721 5518,True,2024-11-23 00:59:41,,0,Demostrador de tiendas,EMP00000004,,
5,user5@icloud.com,Rufino,del Valle,Biblioteca,solicitante,+52 190 628 6484,True,2024-12-27 06:57:23,,0,Operador de máquinas para la fabricación de calzado,EMP00000005,,
6,user6@live.com,José Luis,Villanueva,Dirección Académica,solicitante,+52 181 195 9067,True,2025-02-11 11:27:54,,0,Vendedor puerta a puerta,EMP00000006,,
7,user7@outlook.com,Samuel,Delgadillo,Desarrollo Académico,solicitante,+52 544 958 5236,True,2025-02-27 01:32:01,,0,Coreógrafo,EMP00000007,,
8,user8@utvt.edu.mx,Jonás,Carranza,Compras,solicitante,+52 687 874 7477,True,2024-11-08 03:14:46,,0,Secretario administrativo,EMP00000008,,
9,user9@utvt.edu.mx,Tania,Leyva,Finanzas,solicitante,+52 244 588 2605,True,2024-12-17 03:44:39,,0,Gerente de hoteles o restaurantes,EMP00000009,,
10,user10@yahoo.com,Fernando,Mascareñas,Recursos Humanos,solicitante,+52 273 667 7742,True,2025-09-18 06:12:51,,0,Conductor de tranvía,EMP00000010,,
11,user11@gmail.com,Genaro,Farías,Planeación,solicitante,+52 672 445 9856,True,2025-03-25 08:29:12,,0,Director de cine,EMP00000011,,
12,user12@gmail.com,Pamela,Jasso,Jurídico,solicitante,+52 868 332 1164,True,2024-10-08 07:44:44,,0,Colchonero,EMP00000012,,
13,user13@gmail.com,Víctor,Jurado,Compras,solicitante,+52 765 685 6426,True,2025-03-02 00:45:49,,0,Supervisor de tiendas y almacenes,EMP00000013,,
14,user14@utvt.edu.mx,Angélica,Villa,Servicios Escolares,solicitante,+52 450 844 4260,True,2024-10-21 12:17:14,,0,Técnico en documentación sanitaria,EMP00000014,,
15,user15@outlook.com,Araceli,Salazar,Almacén,solicitante,+52 178 580 7533,True,2025-02-01 16:23:25,,0,Cajero de banco,EMP00000015,,
16,user16@utvt.edu.mx,Patricia,Borrego,Seguridad,solicitante,+52 603 233 1287,True,2025-09-04 01:09:13,,0,Técnico en ingeniería civil,EMP00000016,,
17,user17@hotmail.com,Ofelia,Pichardo,Planeación,solicitante,+52 866 239 7221,True,2025-08-08 06:31:57,,0,Conductor de automóviles,EMP00000017,,
18,user18@yahoo.com,Lucas,Zayas,Biblioteca,solicitante,+52 521 447 4867,True,2025-05-30 06:09:04,,0,Asesor financiero y en inversiones,EMP00000018,,
19,user19@live.com,Diana,Ojeda,Desarrollo Académico,solicitante,+52 663 258 2478,True,2025-06-08 11:21:03,,0,Pescador de alta mar,EMP00000019,,
20,user20@icloud.com,Amelia,Olvera,Investigación,solicitante,+52 160 130 4227,True,2025-01-07 17:16:06,,0,Supervisor de tiendas y almacenes,EMP00000020,,
21,user21@gmail.com,Gabriela,Meléndez,Calidad,solicitante,+52 290 880 7576,True,2025-03-30 11:12:10,,0,Dinamitero,EMP00000021,,
22,user22@icloud.com,Hernán,Polanco,Servicios Escolares,solicitante,+52 174 443 1222,True,2025-03-07 22:04:02,,0,Cristalero,EMP00000022,,
23,user23@outlook.com,Lucía,Frías,Calidad,solicitante,+52 126 721 7686,True,2025-03-16 02:18:18,,0,Operador de máquinas de movimiento de tierras,EMP00000023,,
24,user24@live.com,Santiago,Fonseca,Transporte,solicitante,+52 983 508 4285,True,2025-06-14 04:05:22,,0,Consignatario,EMP00000024,,
25,user25@outlook.com,Leticia,Zarate,Planeación,solicitante,+52 726 773 1164,True,2025-08-19 19:44:39,,0,Secretario jurídicos,EMP00000025,,
26,user26@yahoo.com,Anabel,Gollum,Jurídico,solicitante,+52 687 398 7257,True,2024-11-17 11:03:20,,0,Técnico en ingeniería civil,EMP00000026,,
27,user27@gmail.com,Ana María,Segovia,Investigación,solicitante,+52 723 803 5872,True,2025-05-27 20:55:57,,0,Profesor de universidades y de la enseñanza superior,EMP00000027,,
28,user28@outlook.com,Sergio,Yáñez,Biblioteca,solicitante,+52 391 203 6911,True,2024-12-16 22:01:00,,0,Filósofo,EMP00000028,,
29,user29@live.com,Dulce,Tejeda,Jurídico,solicitante,+52 269 315 4525,True,2025-06-20 06:23:53,,0,Director de industrias manufactureras,EMP00000029,,
30,user30@outlook.com,Ana Luisa,Navarrete,Dirección Académica,solicitante,+52 981 483 6667,True,2025-02-26 00:19:09,,0,Botánico,EMP00000030,,
